 r_peak96.000000 r_peak_value1.680415 rr_pre_interval96.000000 rr_post_interval98.000000 p_onset3.000000 p_onset_val1.492136 p_peak76.000000 p_peak_val-0.145939 p_end79.000000 p_end_val-0.133384 qrs_onset86.000000 qrs_onset_val0.148638 qrs_end28.000000 qrs_end_val-0.190160 t_peak22.000000 t_peak_val0.000991 t_end98.000000 t_end_val0.299376
 r_peak2519.000000 r_peak_value1.133665 rr_pre_interval287.000000 rr_post_interval141.000000 p_onset43.000000 p_onset_val-0.119829 p_peak93.000000 p_peak_val0.238244 p_end114.000000 p_end_val-0.070923 qrs_onset122.000000 qrs_onset_val0.161005 qrs_end6.000000 qrs_end_val0.454183 t_peak64.000000 t_peak_val0.100485 t_end94.000000 t_end_val0.212868
 r_peak2660.000000 r_peak_value1.410189 rr_pre_interval141.000000 rr_post_interval133.000000 p_onset84.000000 p_onset_val0.146960 p_peak112.000000 p_peak_val0.252903 p_end110.000000 p_end_val0.009643 qrs_onset117.000000 qrs_onset_val0.153905 qrs_end12.000000 qrs_end_val0.139970 t_peak72.000000 t_peak_val0.238732 t_end84.000000 t_end_val0.146960
 r_peak2793.000000 r_peak_value1.392103 rr_pre_interval133.000000 rr_post_interval140.000000 p_onset79.000000 p_onset_val0.073417 p_peak105.000000 p_peak_val0.263683 p_end118.000000 p_end_val-0.024358 qrs_onset125.000000 qrs_onset_val0.212131 qrs_end13.000000 qrs_end_val-0.328681 t_peak76.000000 t_peak_val0.338041 t_end79.000000 t_end_val0.073417
 r_peak2933.000000 r_peak_value1.689010 rr_pre_interval140.000000 rr_post_interval191.000000 p_onset120.000000 p_onset_val-0.197287 p_peak149.000000 p_peak_val0.020063 p_end159.000000 p_end_val-0.059294 qrs_onset178.000000 qrs_onset_val0.190628 qrs_end7.000000 qrs_end_val0.860625 t_peak68.000000 t_peak_val0.153745 t_end80.000000 t_end_val-0.190158
 r_peak3124.000000 r_peak_value1.865032 rr_pre_interval191.000000 rr_post_interval209.000000 p_onset112.000000 p_onset_val-0.084545 p_peak159.000000 p_peak_val0.269483 p_end169.000000 p_end_val-0.128778 qrs_onset176.000000 qrs_onset_val0.061347 qrs_end19.000000 qrs_end_val-0.255564 t_peak29.000000 t_peak_val0.139576 t_end54.000000 t_end_val-0.355062
 r_peak3333.000000 r_peak_value1.897321 rr_pre_interval209.000000 rr_post_interval380.000000 p_onset294.000000 p_onset_val-0.068778 p_peak317.000000 p_peak_val0.028089 p_end336.000000 p_end_val-0.060766 qrs_onset359.000000 qrs_onset_val-0.044355 qrs_end19.000000 qrs_end_val-0.244215 t_peak128.000000 t_peak_val1.700724 t_end131.000000 t_end_val1.465458
 r_peak3713.000000 r_peak_value1.841195 rr_pre_interval380.000000 rr_post_interval279.000000 p_onset161.000000 p_onset_val-0.015031 p_peak216.000000 p_peak_val0.984969 p_end254.000000 p_end_val0.007854 qrs_onset267.000000 qrs_onset_val0.340345 qrs_end23.000000 qrs_end_val-0.341234 t_peak122.000000 t_peak_val0.221221 t_end165.000000 t_end_val-0.092147
 r_peak3992.000000 r_peak_value1.545283 rr_pre_interval279.000000 rr_post_interval536.000000 p_onset359.000000 p_onset_val0.045752 p_peak383.000000 p_peak_val0.096315 p_end390.000000 p_end_val0.067741 qrs_onset524.000000 qrs_onset_val0.368982 qrs_end10.000000 qrs_end_val0.312539 t_peak245.000000 t_peak_val1.094060 t_end326.000000 t_end_val0.060783
 r_peak4528.000000 r_peak_value0.741803 rr_pre_interval536.000000 rr_post_interval194.000000 p_onset136.000000 p_onset_val-0.013494 p_peak168.000000 p_peak_val0.258982 p_end170.000000 p_end_val0.131741 qrs_onset177.000000 qrs_onset_val-0.291848 qrs_end18.000000 qrs_end_val-0.476160 t_peak103.000000 t_peak_val0.240958 t_end136.000000 t_end_val-0.013494
 r_peak4722.000000 r_peak_value0.896365 rr_pre_interval194.000000 rr_post_interval138.000000 p_onset98.000000 p_onset_val-0.028370 p_peak117.000000 p_peak_val0.038229 p_end112.000000 p_end_val-0.010501 qrs_onset119.000000 qrs_onset_val0.084467 qrs_end17.000000 qrs_end_val-0.269654 t_peak60.000000 t_peak_val0.347352 t_end98.000000 t_end_val-0.028370
 r_peak4860.000000 r_peak_value1.365094 rr_pre_interval138.000000 rr_post_interval223.000000 p_onset165.000000 p_onset_val-0.002237 p_peak194.000000 p_peak_val0.044345 p_end195.000000 p_end_val0.020599 qrs_onset202.000000 qrs_onset_val-0.054183 qrs_end16.000000 qrs_end_val-0.339953 t_peak114.000000 t_peak_val0.231792 t_end139.000000 t_end_val-0.071752
 r_peak5083.000000 r_peak_value1.600707 rr_pre_interval223.000000 rr_post_interval164.000000 p_onset85.000000 p_onset_val-0.082367 p_peak113.000000 p_peak_val-0.033323 p_end134.000000 p_end_val-0.185815 qrs_onset146.000000 qrs_onset_val-0.154013 qrs_end16.000000 qrs_end_val-0.384356 t_peak96.000000 t_peak_val-0.058213 t_end117.000000 t_end_val-0.133699
 r_peak5247.000000 r_peak_value1.877335 rr_pre_interval164.000000 rr_post_interval187.000000 p_onset109.000000 p_onset_val-0.223068 p_peak166.000000 p_peak_val0.018920 p_end151.000000 p_end_val-0.163149 qrs_onset158.000000 qrs_onset_val-0.089466 qrs_end17.000000 qrs_end_val-0.374059 t_peak69.000000 t_peak_val-0.103835 t_end71.000000 t_end_val-0.132910
 r_peak5434.000000 r_peak_value1.880596 rr_pre_interval187.000000 rr_post_interval216.000000 p_onset156.000000 p_onset_val-0.091130 p_peak194.000000 p_peak_val0.054012 p_end199.000000 p_end_val0.034247 qrs_onset206.000000 qrs_onset_val0.608071 qrs_end22.000000 qrs_end_val-0.347336 t_peak105.000000 t_peak_val-0.060705 t_end131.000000 t_end_val-0.102744
 r_peak5650.000000 r_peak_value1.806661 rr_pre_interval216.000000 rr_post_interval143.000000 p_onset101.000000 p_onset_val-0.051116 p_peak122.000000 p_peak_val0.045123 p_end126.000000 p_end_val0.159496 qrs_onset133.000000 qrs_onset_val0.294339 qrs_end11.000000 qrs_end_val-0.241616 t_peak79.000000 t_peak_val0.072960 t_end102.000000 t_end_val-0.052856
 r_peak5793.000000 r_peak_value1.582396 rr_pre_interval143.000000 rr_post_interval237.000000 p_onset190.000000 p_onset_val0.000875 p_peak215.000000 p_peak_val0.070799 p_end217.000000 p_end_val0.035283 qrs_onset224.000000 qrs_onset_val0.261474 qrs_end12.000000 qrs_end_val-0.033952 t_peak74.000000 t_peak_val0.128654 t_end102.000000 t_end_val-0.021533
 r_peak6030.000000 r_peak_value1.710736 rr_pre_interval237.000000 rr_post_interval169.000000 p_onset102.000000 p_onset_val-0.016428 p_peak132.000000 p_peak_val0.060390 p_end137.000000 p_end_val0.051111 qrs_onset160.000000 qrs_onset_val0.523696 qrs_end15.000000 qrs_end_val-0.307539 t_peak90.000000 t_peak_val-0.023511 t_end104.000000 t_end_val-0.030691
 r_peak6199.000000 r_peak_value2.001801 rr_pre_interval169.000000 rr_post_interval235.000000 p_onset156.000000 p_onset_val-0.053120 p_peak188.000000 p_peak_val-0.007257 p_end207.000000 p_end_val-0.057396 qrs_onset220.000000 qrs_onset_val0.286539 qrs_end13.000000 qrs_end_val-0.071240 t_peak95.000000 t_peak_val0.032886 t_end121.000000 t_end_val-0.130548
 r_peak6434.000000 r_peak_value1.530789 rr_pre_interval235.000000 rr_post_interval277.000000 p_onset167.000000 p_onset_val0.025374 p_peak190.000000 p_peak_val0.078118 p_end217.000000 p_end_val-0.064015 qrs_onset255.000000 qrs_onset_val-0.059624 qrs_end20.000000 qrs_end_val-0.334305 t_peak160.000000 t_peak_val0.016722 t_end167.000000 t_end_val0.025374
 r_peak6711.000000 r_peak_value1.642635 rr_pre_interval277.000000 rr_post_interval232.000000 p_onset154.000000 p_onset_val-0.113025 p_peak183.000000 p_peak_val0.028384 p_end187.000000 p_end_val0.005045 qrs_onset214.000000 qrs_onset_val0.044935 qrs_end19.000000 qrs_end_val-0.346284 t_peak111.000000 t_peak_val-0.059327 t_end166.000000 t_end_val-0.025016
 r_peak6943.000000 r_peak_value1.936285 rr_pre_interval232.000000 rr_post_interval336.000000 p_onset244.000000 p_onset_val-0.051083 p_peak276.000000 p_peak_val0.008386 p_end288.000000 p_end_val-0.011991 qrs_onset312.000000 qrs_onset_val-0.019988 qrs_end17.000000 qrs_end_val-0.186349 t_peak168.000000 t_peak_val0.067713 t_end170.000000 t_end_val0.045643
 r_peak7279.000000 r_peak_value1.409085 rr_pre_interval336.000000 rr_post_interval309.000000 p_onset173.000000 p_onset_val0.056104 p_peak197.000000 p_peak_val0.034893 p_end222.000000 p_end_val0.017822 qrs_onset284.000000 qrs_onset_val0.004653 qrs_end16.000000 qrs_end_val-0.265477 t_peak77.000000 t_peak_val0.080657 t_end80.000000 t_end_val0.064465
 r_peak7588.000000 r_peak_value1.471520 rr_pre_interval309.000000 rr_post_interval163.000000 p_onset72.000000 p_onset_val-0.055484 p_peak98.000000 p_peak_val-0.041080 p_end117.000000 p_end_val-0.171456 qrs_onset148.000000 qrs_onset_val-0.091112 qrs_end19.000000 qrs_end_val-0.360736 t_peak80.000000 t_peak_val0.063419 t_end116.000000 t_end_val-0.171942
 r_peak7751.000000 r_peak_value1.553452 rr_pre_interval163.000000 rr_post_interval403.000000 p_onset266.000000 p_onset_val-0.088022 p_peak301.000000 p_peak_val0.026552 p_end325.000000 p_end_val-0.010297 qrs_onset381.000000 qrs_onset_val-0.066159 qrs_end15.000000 qrs_end_val-0.312584 t_peak131.000000 t_peak_val1.433537 t_end164.000000 t_end_val-0.333203
 r_peak8154.000000 r_peak_value1.841978 rr_pre_interval403.000000 rr_post_interval158.000000 p_onset114.000000 p_onset_val-0.103022 p_peak136.000000 p_peak_val0.030849 p_end132.000000 p_end_val-0.079151 qrs_onset139.000000 qrs_onset_val-0.132630 qrs_end19.000000 qrs_end_val-0.440766 t_peak84.000000 t_peak_val-0.106988 t_end99.000000 t_end_val-0.143445
 r_peak8312.000000 r_peak_value1.779721 rr_pre_interval158.000000 rr_post_interval229.000000 p_onset182.000000 p_onset_val-0.012130 p_peak208.000000 p_peak_val0.087745 p_end199.000000 p_end_val0.039954 qrs_onset206.000000 qrs_onset_val0.068512 qrs_end18.000000 qrs_end_val-0.287896 t_peak136.000000 t_peak_val-0.054713 t_end148.000000 t_end_val-0.042974
 r_peak8541.000000 r_peak_value1.978999 rr_pre_interval229.000000 rr_post_interval334.000000 p_onset198.000000 p_onset_val0.042868 p_peak251.000000 p_peak_val0.091988 p_end253.000000 p_end_val0.071142 qrs_onset313.000000 qrs_onset_val-0.001503 qrs_end18.000000 qrs_end_val-0.241284 t_peak171.000000 t_peak_val0.150270 t_end174.000000 t_end_val0.112966
 r_peak8875.000000 r_peak_value1.927869 rr_pre_interval334.000000 rr_post_interval239.000000 p_onset188.000000 p_onset_val-0.167318 p_peak218.000000 p_peak_val0.063699 p_end206.000000 p_end_val-0.116425 qrs_onset213.000000 qrs_onset_val-0.090063 qrs_end21.000000 qrs_end_val-0.402130 t_peak114.000000 t_peak_val-0.163324 t_end118.000000 t_end_val-0.194060
 r_peak9114.000000 r_peak_value2.083700 rr_pre_interval239.000000 rr_post_interval179.000000 p_onset137.000000 p_onset_val-0.176049 p_peak155.000000 p_peak_val-0.131739 p_end157.000000 p_end_val-0.150939 qrs_onset159.000000 qrs_onset_val-0.180657 qrs_end24.000000 qrs_end_val-0.508307 t_peak86.000000 t_peak_val-0.009513 t_end124.000000 t_end_val-0.229137
 r_peak9293.000000 r_peak_value1.951648 rr_pre_interval179.000000 rr_post_interval139.000000 p_onset0.000000 p_onset_val1.951648 p_peak85.000000 p_peak_val0.081300 p_end100.000000 p_end_val-0.122571 qrs_onset133.000000 qrs_onset_val1.044436 qrs_end20.000000 qrs_end_val-0.325312 t_peak79.000000 t_peak_val0.094372 t_end85.000000 t_end_val0.081300
 r_peak9432.000000 r_peak_value1.583215 rr_pre_interval139.000000 rr_post_interval240.000000 p_onset170.000000 p_onset_val0.005832 p_peak192.000000 p_peak_val0.063917 p_end198.000000 p_end_val0.028493 qrs_onset217.000000 qrs_onset_val-0.010065 qrs_end15.000000 qrs_end_val-0.195861 t_peak78.000000 t_peak_val0.123985 t_end112.000000 t_end_val-0.020671
 r_peak9672.000000 r_peak_value1.789824 rr_pre_interval240.000000 rr_post_interval279.000000 p_onset113.000000 p_onset_val0.024043 p_peak180.000000 p_peak_val0.058558 p_end182.000000 p_end_val0.024279 qrs_onset256.000000 qrs_onset_val-0.017917 qrs_end21.000000 qrs_end_val-0.403514 t_peak114.000000 t_peak_val0.046127 t_end172.000000 t_end_val0.047541
 r_peak9951.000000 r_peak_value1.843775 rr_pre_interval279.000000 rr_post_interval217.000000 p_onset165.000000 p_onset_val0.019075 p_peak196.000000 p_peak_val0.060140 p_end185.000000 p_end_val0.034891 qrs_onset192.000000 qrs_onset_val0.034921 qrs_end32.000000 qrs_end_val-0.403716 t_peak123.000000 t_peak_val-0.011754 t_end143.000000 t_end_val-0.118588
 r_peak10168.000000 r_peak_value1.903871 rr_pre_interval217.000000 rr_post_interval329.000000 p_onset229.000000 p_onset_val-0.060768 p_peak259.000000 p_peak_val0.000062 p_end270.000000 p_end_val-0.039924 qrs_onset308.000000 qrs_onset_val-0.023652 qrs_end18.000000 qrs_end_val-0.296804 t_peak80.000000 t_peak_val0.180058 t_end81.000000 t_end_val0.135826
 r_peak10497.000000 r_peak_value1.920426 rr_pre_interval329.000000 rr_post_interval333.000000 p_onset272.000000 p_onset_val-0.023150 p_peak297.000000 p_peak_val0.044766 p_end298.000000 p_end_val0.015189 qrs_onset309.000000 qrs_onset_val0.002195 qrs_end18.000000 qrs_end_val-0.340057 t_peak164.000000 t_peak_val0.086299 t_end235.000000 t_end_val0.010955
 r_peak10830.000000 r_peak_value1.966428 rr_pre_interval333.000000 rr_post_interval251.000000 p_onset116.000000 p_onset_val-0.081895 p_peak174.000000 p_peak_val-0.031849 p_end193.000000 p_end_val-0.065360 qrs_onset230.000000 qrs_onset_val-0.111378 qrs_end20.000000 qrs_end_val-0.292237 t_peak78.000000 t_peak_val0.043375 t_end79.000000 t_end_val0.043155
 r_peak11081.000000 r_peak_value1.996100 rr_pre_interval251.000000 rr_post_interval261.000000 p_onset197.000000 p_onset_val-0.070877 p_peak240.000000 p_peak_val0.061899 p_end228.000000 p_end_val-0.041581 qrs_onset235.000000 qrs_onset_val0.008357 qrs_end20.000000 qrs_end_val-0.389356 t_peak85.000000 t_peak_val0.047211 t_end86.000000 t_end_val0.040362
 r_peak11342.000000 r_peak_value2.051898 rr_pre_interval261.000000 rr_post_interval310.000000 p_onset234.000000 p_onset_val0.001490 p_peak280.000000 p_peak_val0.036222 p_end281.000000 p_end_val0.015611 qrs_onset288.000000 qrs_onset_val-0.023825 qrs_end26.000000 qrs_end_val-0.360237 t_peak87.000000 t_peak_val0.061514 t_end108.000000 t_end_val-0.016653
 r_peak11652.000000 r_peak_value1.946596 rr_pre_interval310.000000 rr_post_interval206.000000 p_onset109.000000 p_onset_val-0.055863 p_peak162.000000 p_peak_val0.081554 p_end164.000000 p_end_val0.038090 qrs_onset186.000000 qrs_onset_val-0.029356 qrs_end21.000000 qrs_end_val-0.383420 t_peak89.000000 t_peak_val-0.006367 t_end97.000000 t_end_val-0.034925
 r_peak11858.000000 r_peak_value1.968010 rr_pre_interval206.000000 rr_post_interval159.000000 p_onset107.000000 p_onset_val-0.128746 p_peak136.000000 p_peak_val-0.060974 p_end140.000000 p_end_val-0.080441 qrs_onset147.000000 qrs_onset_val0.299214 qrs_end18.000000 qrs_end_val-0.412961 t_peak81.000000 t_peak_val0.071915 t_end110.000000 t_end_val-0.137900
 r_peak12017.000000 r_peak_value1.786328 rr_pre_interval159.000000 rr_post_interval259.000000 p_onset216.000000 p_onset_val-0.023636 p_peak238.000000 p_peak_val0.060440 p_end231.000000 p_end_val0.012853 qrs_onset238.000000 qrs_onset_val0.060440 qrs_end18.000000 qrs_end_val-0.214677 t_peak77.000000 t_peak_val0.072458 t_end116.000000 t_end_val-0.112401
 r_peak12276.000000 r_peak_value1.914092 rr_pre_interval259.000000 rr_post_interval251.000000 p_onset125.000000 p_onset_val-0.080675 p_peak167.000000 p_peak_val0.042696 p_end196.000000 p_end_val-0.052932 qrs_onset230.000000 qrs_onset_val-0.031583 qrs_end20.000000 qrs_end_val-0.330108 t_peak89.000000 t_peak_val-0.013682 t_end107.000000 t_end_val-0.046740
 r_peak12527.000000 r_peak_value1.943745 rr_pre_interval251.000000 rr_post_interval228.000000 p_onset179.000000 p_onset_val-0.074204 p_peak205.000000 p_peak_val-0.011725 p_end201.000000 p_end_val-0.053497 qrs_onset208.000000 qrs_onset_val-0.039500 qrs_end20.000000 qrs_end_val-0.364658 t_peak73.000000 t_peak_val-0.065395 t_end75.000000 t_end_val-0.067715
 r_peak12755.000000 r_peak_value2.016020 rr_pre_interval228.000000 rr_post_interval236.000000 p_onset175.000000 p_onset_val-0.020499 p_peak211.000000 p_peak_val0.044375 p_end214.000000 p_end_val-0.004198 qrs_onset221.000000 qrs_onset_val0.337933 qrs_end17.000000 qrs_end_val-0.319122 t_peak84.000000 t_peak_val-0.050801 t_end126.000000 t_end_val-0.147178
 r_peak12991.000000 r_peak_value1.999310 rr_pre_interval236.000000 rr_post_interval207.000000 p_onset115.000000 p_onset_val-0.118779 p_peak179.000000 p_peak_val0.040126 p_end180.000000 p_end_val0.019091 qrs_onset185.000000 qrs_onset_val0.023746 qrs_end15.000000 qrs_end_val-0.254878 t_peak94.000000 t_peak_val-0.076695 t_end115.000000 t_end_val-0.118779
 r_peak13198.000000 r_peak_value2.181393 rr_pre_interval207.000000 rr_post_interval343.000000 p_onset281.000000 p_onset_val-0.008541 p_peak318.000000 p_peak_val0.049668 p_end315.000000 p_end_val0.025812 qrs_onset322.000000 qrs_onset_val0.028368 qrs_end21.000000 qrs_end_val-0.330752 t_peak163.000000 t_peak_val0.012117 t_end188.000000 t_end_val-0.028163
 r_peak13541.000000 r_peak_value1.974058 rr_pre_interval343.000000 rr_post_interval236.000000 p_onset127.000000 p_onset_val0.034894 p_peak162.000000 p_peak_val0.182948 p_end170.000000 p_end_val0.165847 qrs_onset216.000000 qrs_onset_val0.040283 qrs_end20.000000 qrs_end_val-0.377636 t_peak132.000000 t_peak_val0.039940 t_end170.000000 t_end_val0.165847
 r_peak13777.000000 r_peak_value2.082949 rr_pre_interval236.000000 rr_post_interval238.000000 p_onset124.000000 p_onset_val-0.218541 p_peak184.000000 p_peak_val-0.059213 p_end205.000000 p_end_val-0.140779 qrs_onset222.000000 qrs_onset_val0.068279 qrs_end20.000000 qrs_end_val-0.341643 t_peak78.000000 t_peak_val-0.106266 t_end104.000000 t_end_val-0.241425
 r_peak14015.000000 r_peak_value2.024470 rr_pre_interval238.000000 rr_post_interval275.000000 p_onset231.000000 p_onset_val-0.048981 p_peak252.000000 p_peak_val0.018356 p_end247.000000 p_end_val0.006052 qrs_onset254.000000 qrs_onset_val-0.005531 qrs_end16.000000 qrs_end_val-0.265924 t_peak84.000000 t_peak_val0.010155 t_end164.000000 t_end_val-0.060253
 r_peak14290.000000 r_peak_value2.049612 rr_pre_interval275.000000 rr_post_interval300.000000 p_onset242.000000 p_onset_val-0.047395 p_peak277.000000 p_peak_val0.071052 p_end270.000000 p_end_val0.016819 qrs_onset277.000000 qrs_onset_val0.071052 qrs_end18.000000 qrs_end_val-0.241892 t_peak177.000000 t_peak_val0.090254 t_end182.000000 t_end_val-0.015891
 r_peak14590.000000 r_peak_value2.022276 rr_pre_interval300.000000 rr_post_interval196.000000 p_onset151.000000 p_onset_val-0.062587 p_peak174.000000 p_peak_val0.021692 p_end169.000000 p_end_val0.016974 qrs_onset176.000000 qrs_onset_val-0.002477 qrs_end19.000000 qrs_end_val-0.336422 t_peak81.000000 t_peak_val-0.038196 t_end93.000000 t_end_val-0.133306
 r_peak14786.000000 r_peak_value1.966757 rr_pre_interval196.000000 rr_post_interval140.000000 p_onset31.000000 p_onset_val-0.463744 p_peak84.000000 p_peak_val0.042005 p_end105.000000 p_end_val-0.101869 qrs_onset126.000000 qrs_onset_val0.188351 qrs_end20.000000 qrs_end_val-0.389654 t_peak79.000000 t_peak_val0.066189 t_end105.000000 t_end_val-0.101869
 r_peak14926.000000 r_peak_value1.520030 rr_pre_interval140.000000 rr_post_interval317.000000 p_onset258.000000 p_onset_val-0.051913 p_peak296.000000 p_peak_val0.096944 p_end296.000000 p_end_val0.096944 qrs_onset303.000000 qrs_onset_val0.585940 qrs_end18.000000 qrs_end_val-0.318982 t_peak115.000000 t_peak_val0.019858 t_end130.000000 t_end_val0.015969
 r_peak15243.000000 r_peak_value1.766880 rr_pre_interval317.000000 rr_post_interval192.000000 p_onset139.000000 p_onset_val0.007677 p_peak170.000000 p_peak_val0.133275 p_end161.000000 p_end_val0.029655 qrs_onset168.000000 qrs_onset_val0.108494 qrs_end14.000000 qrs_end_val-0.146177 t_peak92.000000 t_peak_val-0.029110 t_end95.000000 t_end_val-0.090208
 r_peak15435.000000 r_peak_value2.081238 rr_pre_interval192.000000 rr_post_interval194.000000 p_onset118.000000 p_onset_val-0.102552 p_peak170.000000 p_peak_val0.099483 p_end164.000000 p_end_val0.027524 qrs_onset171.000000 qrs_onset_val0.091677 qrs_end24.000000 qrs_end_val-0.347397 t_peak87.000000 t_peak_val-0.003430 t_end99.000000 t_end_val-0.034495
 r_peak15629.000000 r_peak_value2.078118 rr_pre_interval194.000000 rr_post_interval300.000000 p_onset237.000000 p_onset_val-0.086380 p_peak270.000000 p_peak_val0.143465 p_end272.000000 p_end_val0.020376 qrs_onset287.000000 qrs_onset_val0.424202 qrs_end23.000000 qrs_end_val-0.368855 t_peak96.000000 t_peak_val-0.028791 t_end124.000000 t_end_val-0.127132
 r_peak15929.000000 r_peak_value2.035283 rr_pre_interval300.000000 rr_post_interval377.000000 p_onset166.000000 p_onset_val-0.010593 p_peak227.000000 p_peak_val0.547369 p_end302.000000 p_end_val0.088293 qrs_onset361.000000 qrs_onset_val0.435143 qrs_end17.000000 qrs_end_val-0.122303 t_peak211.000000 t_peak_val1.051177 t_end213.000000 t_end_val0.853889
 r_peak16306.000000 r_peak_value1.782524 rr_pre_interval377.000000 rr_post_interval288.000000 p_onset176.000000 p_onset_val0.158874 p_peak211.000000 p_peak_val0.310597 p_end229.000000 p_end_val-0.263150 qrs_onset270.000000 qrs_onset_val-0.268402 qrs_end16.000000 qrs_end_val-0.412617 t_peak160.000000 t_peak_val0.251618 t_end176.000000 t_end_val0.158874
 r_peak16594.000000 r_peak_value1.803700 rr_pre_interval288.000000 rr_post_interval130.000000 p_onset60.000000 p_onset_val-0.042476 p_peak86.000000 p_peak_val0.176677 p_end88.000000 p_end_val-0.297414 qrs_onset118.000000 qrs_onset_val0.253607 qrs_end8.000000 qrs_end_val1.450205 t_peak76.000000 t_peak_val0.058794 t_end124.000000 t_end_val-0.106095
 r_peak16724.000000 r_peak_value0.520190 rr_pre_interval130.000000 rr_post_interval219.000000 p_onset98.000000 p_onset_val0.729122 p_peak196.000000 p_peak_val1.033195 p_end203.000000 p_end_val1.077850 qrs_onset207.000000 qrs_onset_val1.043493 qrs_end15.000000 qrs_end_val-0.904152 t_peak94.000000 t_peak_val1.224483 t_end116.000000 t_end_val0.785815
