 r_peak670.000000 r_peak_value0.754263 rr_pre_interval670.000000 rr_post_interval211.000000 p_onset87.000000 p_onset_val-0.163854 p_peak127.000000 p_peak_val0.053889 p_end152.000000 p_end_val-0.272037 qrs_onset199.000000 qrs_onset_val-0.263700 qrs_end5.000000 qrs_end_val0.905251 t_peak20.000000 t_peak_val1.131756 t_end80.000000 t_end_val-0.142804
 r_peak4556.000000 r_peak_value2.044231 rr_pre_interval292.000000 rr_post_interval300.000000 p_onset169.000000 p_onset_val-0.158060 p_peak193.000000 p_peak_val-0.132715 p_end228.000000 p_end_val-0.324484 qrs_onset286.000000 qrs_onset_val-0.166913 qrs_end12.000000 qrs_end_val0.761504 t_peak109.000000 t_peak_val1.482756 t_end174.000000 t_end_val-0.259454
 r_peak4856.000000 r_peak_value2.115361 rr_pre_interval300.000000 rr_post_interval310.000000 p_onset181.000000 p_onset_val-0.228796 p_peak219.000000 p_peak_val-0.116993 p_end231.000000 p_end_val-0.160519 qrs_onset295.000000 qrs_onset_val-0.149390 qrs_end27.000000 qrs_end_val-1.958136 t_peak117.000000 t_peak_val1.249604 t_end173.000000 t_end_val-0.217088
 r_peak5166.000000 r_peak_value2.038212 rr_pre_interval310.000000 rr_post_interval321.000000 p_onset251.000000 p_onset_val-0.191755 p_peak285.000000 p_peak_val0.228652 p_end293.000000 p_end_val0.157679 qrs_onset308.000000 qrs_onset_val-0.100031 qrs_end36.000000 qrs_end_val-2.314736 t_peak130.000000 t_peak_val1.331197 t_end202.000000 t_end_val-0.230249
 r_peak5487.000000 r_peak_value1.899515 rr_pre_interval321.000000 rr_post_interval314.000000 p_onset131.000000 p_onset_val1.279941 p_peak232.000000 p_peak_val0.196619 p_end284.000000 p_end_val-0.399199 qrs_onset302.000000 qrs_onset_val-0.348697 qrs_end22.000000 qrs_end_val-0.307226 t_peak133.000000 t_peak_val1.302794 t_end232.000000 t_end_val0.196619
 r_peak5801.000000 r_peak_value1.853199 rr_pre_interval314.000000 rr_post_interval305.000000 p_onset126.000000 p_onset_val1.200844 p_peak183.000000 p_peak_val0.312346 p_end236.000000 p_end_val-0.365784 qrs_onset288.000000 qrs_onset_val-0.327005 qrs_end13.000000 qrs_end_val0.749030 t_peak125.000000 t_peak_val1.200969 t_end165.000000 t_end_val0.059698
 r_peak6106.000000 r_peak_value1.912869 rr_pre_interval305.000000 rr_post_interval904.000000 p_onset581.000000 p_onset_val-0.229639 p_peak602.000000 p_peak_val1.974044 p_end635.000000 p_end_val-1.893118 qrs_onset894.000000 qrs_onset_val0.105740 qrs_end33.000000 qrs_end_val-2.071175 t_peak298.000000 t_peak_val1.916506 t_end337.000000 t_end_val-2.291724
 r_peak7010.000000 r_peak_value2.023278 rr_pre_interval904.000000 rr_post_interval620.000000 p_onset309.000000 p_onset_val1.430846 p_peak429.000000 p_peak_val1.154202 p_end489.000000 p_end_val-0.140625 qrs_onset604.000000 qrs_onset_val-0.296863 qrs_end35.000000 qrs_end_val-1.953432 t_peak305.000000 t_peak_val1.866270 t_end346.000000 t_end_val-2.088089
 r_peak7630.000000 r_peak_value1.857823 rr_pre_interval620.000000 rr_post_interval312.000000 p_onset38.000000 p_onset_val-2.202914 p_peak188.000000 p_peak_val-0.170582 p_end217.000000 p_end_val-0.267980 qrs_onset300.000000 qrs_onset_val-0.231740 qrs_end16.000000 qrs_end_val0.373465 t_peak126.000000 t_peak_val1.301409 t_end217.000000 t_end_val-0.267980
 r_peak7942.000000 r_peak_value1.905126 rr_pre_interval312.000000 rr_post_interval309.000000 p_onset41.000000 p_onset_val-2.293635 p_peak186.000000 p_peak_val-0.247505 p_end215.000000 p_end_val-0.311517 qrs_onset295.000000 qrs_onset_val-0.229076 qrs_end16.000000 qrs_end_val0.442525 t_peak126.000000 t_peak_val1.582682 t_end215.000000 t_end_val-0.311517
 r_peak8251.000000 r_peak_value1.945956 rr_pre_interval309.000000 rr_post_interval296.000000 p_onset120.000000 p_onset_val1.308615 p_peak183.000000 p_peak_val-0.134078 p_end208.000000 p_end_val-0.206663 qrs_onset283.000000 qrs_onset_val-0.215173 qrs_end19.000000 qrs_end_val-0.202023 t_peak123.000000 t_peak_val1.331704 t_end183.000000 t_end_val-0.134078
 r_peak8547.000000 r_peak_value1.953776 rr_pre_interval296.000000 rr_post_interval912.000000 p_onset572.000000 p_onset_val-0.322145 p_peak592.000000 p_peak_val1.940331 p_end634.000000 p_end_val-2.247446 qrs_onset897.000000 qrs_onset_val-0.292868 qrs_end17.000000 qrs_end_val0.365736 t_peak294.000000 t_peak_val1.901724 t_end334.000000 t_end_val-2.574278
 r_peak9459.000000 r_peak_value1.861318 rr_pre_interval912.000000 rr_post_interval318.000000 p_onset273.000000 p_onset_val-0.259169 p_peak297.000000 p_peak_val-0.198589 p_end302.000000 p_end_val-0.161254 qrs_onset306.000000 qrs_onset_val-0.178135 qrs_end25.000000 qrs_end_val-0.649183 t_peak134.000000 t_peak_val1.349799 t_end197.000000 t_end_val-0.286005
 r_peak9777.000000 r_peak_value1.972336 rr_pre_interval318.000000 rr_post_interval310.000000 p_onset239.000000 p_onset_val-0.297949 p_peak289.000000 p_peak_val-0.177255 p_end291.000000 p_end_val-0.168744 qrs_onset294.000000 qrs_onset_val-0.158368 qrs_end17.000000 qrs_end_val0.210501 t_peak122.000000 t_peak_val1.383561 t_end180.000000 t_end_val-0.249799
 r_peak10087.000000 r_peak_value2.033167 rr_pre_interval310.000000 rr_post_interval308.000000 p_onset264.000000 p_onset_val-0.194184 p_peak287.000000 p_peak_val-0.028793 p_end292.000000 p_end_val0.128511 qrs_onset297.000000 qrs_onset_val0.243605 qrs_end28.000000 qrs_end_val-1.311502 t_peak129.000000 t_peak_val0.957228 t_end182.000000 t_end_val-0.175018
 r_peak10395.000000 r_peak_value2.085172 rr_pre_interval308.000000 rr_post_interval296.000000 p_onset211.000000 p_onset_val-0.065454 p_peak237.000000 p_peak_val0.177193 p_end275.000000 p_end_val-0.412009 qrs_onset283.000000 qrs_onset_val-0.365849 qrs_end12.000000 qrs_end_val0.902962 t_peak122.000000 t_peak_val1.207999 t_end189.000000 t_end_val-0.026019
 r_peak10691.000000 r_peak_value1.830406 rr_pre_interval296.000000 rr_post_interval300.000000 p_onset120.000000 p_onset_val1.186365 p_peak191.000000 p_peak_val0.342898 p_end244.000000 p_end_val-0.335361 qrs_onset289.000000 qrs_onset_val-0.327118 qrs_end16.000000 qrs_end_val0.358902 t_peak119.000000 t_peak_val1.190581 t_end169.000000 t_end_val-0.062899
 r_peak10991.000000 r_peak_value1.888009 rr_pre_interval300.000000 rr_post_interval300.000000 p_onset38.000000 p_onset_val-1.980689 p_peak180.000000 p_peak_val-0.191644 p_end217.000000 p_end_val-0.302570 qrs_onset280.000000 qrs_onset_val-0.328385 qrs_end9.000000 qrs_end_val1.012538 t_peak125.000000 t_peak_val1.164739 t_end217.000000 t_end_val-0.302570
 r_peak11291.000000 r_peak_value1.858322 rr_pre_interval300.000000 rr_post_interval309.000000 p_onset267.000000 p_onset_val-0.272432 p_peak288.000000 p_peak_val-0.190408 p_end291.000000 p_end_val-0.210736 qrs_onset294.000000 qrs_onset_val-0.195375 qrs_end19.000000 qrs_end_val0.232305 t_peak119.000000 t_peak_val1.228603 t_end185.000000 t_end_val-0.265535
 r_peak11600.000000 r_peak_value1.971804 rr_pre_interval309.000000 rr_post_interval315.000000 p_onset270.000000 p_onset_val-0.271144 p_peak292.000000 p_peak_val-0.196270 p_end296.000000 p_end_val-0.191082 qrs_onset299.000000 qrs_onset_val-0.198135 qrs_end19.000000 qrs_end_val-0.169560 t_peak124.000000 t_peak_val1.359650 t_end223.000000 t_end_val-0.330629
 r_peak11915.000000 r_peak_value2.053416 rr_pre_interval315.000000 rr_post_interval322.000000 p_onset248.000000 p_onset_val-0.169089 p_peak276.000000 p_peak_val0.132367 p_end304.000000 p_end_val-0.285486 qrs_onset309.000000 qrs_onset_val-0.265455 qrs_end17.000000 qrs_end_val0.836519 t_peak133.000000 t_peak_val0.751710 t_end205.000000 t_end_val-0.263150
 r_peak12237.000000 r_peak_value2.057726 rr_pre_interval322.000000 rr_post_interval598.000000 p_onset310.000000 p_onset_val2.260233 p_peak425.000000 p_peak_val0.891863 p_end505.000000 p_end_val-0.301051 qrs_onset582.000000 qrs_onset_val-0.420877 qrs_end22.000000 qrs_end_val0.026316 t_peak306.000000 t_peak_val2.585861 t_end345.000000 t_end_val-1.720911
 r_peak12835.000000 r_peak_value2.960629 rr_pre_interval598.000000 rr_post_interval297.000000 p_onset248.000000 p_onset_val-0.359985 p_peak272.000000 p_peak_val-0.255250 p_end274.000000 p_end_val-0.300235 qrs_onset281.000000 qrs_onset_val-0.215250 qrs_end36.000000 qrs_end_val-1.543338 t_peak117.000000 t_peak_val1.312038 t_end165.000000 t_end_val-0.371535
 r_peak13132.000000 r_peak_value3.095863 rr_pre_interval297.000000 rr_post_interval612.000000 p_onset339.000000 p_onset_val-1.633638 p_peak431.000000 p_peak_val0.850297 p_end479.000000 p_end_val-0.293417 qrs_onset597.000000 qrs_onset_val-0.098744 qrs_end26.000000 qrs_end_val-0.696708 t_peak296.000000 t_peak_val2.948355 t_end339.000000 t_end_val-1.633638
 r_peak13744.000000 r_peak_value2.758622 rr_pre_interval612.000000 rr_post_interval321.000000 p_onset205.000000 p_onset_val-0.290188 p_peak236.000000 p_peak_val0.044673 p_end250.000000 p_end_val-0.099888 qrs_onset307.000000 qrs_onset_val-0.321157 qrs_end22.000000 qrs_end_val0.245660 t_peak131.000000 t_peak_val0.982712 t_end196.000000 t_end_val-0.331598
 r_peak14065.000000 r_peak_value2.623419 rr_pre_interval321.000000 rr_post_interval619.000000 p_onset320.000000 p_onset_val2.236914 p_peak436.000000 p_peak_val1.198592 p_end486.000000 p_end_val-0.369543 qrs_onset604.000000 qrs_onset_val-0.304496 qrs_end17.000000 qrs_end_val0.836098 t_peak315.000000 t_peak_val2.572651 t_end354.000000 t_end_val-1.547962
 r_peak14684.000000 r_peak_value2.498497 rr_pre_interval619.000000 rr_post_interval304.000000 p_onset245.000000 p_onset_val-0.342632 p_peak283.000000 p_peak_val-0.221315 p_end284.000000 p_end_val-0.228447 qrs_onset289.000000 qrs_onset_val-0.182819 qrs_end24.000000 qrs_end_val-0.583870 t_peak122.000000 t_peak_val1.258343 t_end185.000000 t_end_val-0.340686
 r_peak14988.000000 r_peak_value2.335786 rr_pre_interval304.000000 rr_post_interval297.000000 p_onset243.000000 p_onset_val-0.181629 p_peak272.000000 p_peak_val0.144845 p_end281.000000 p_end_val0.105188 qrs_onset283.000000 qrs_onset_val0.075847 qrs_end12.000000 qrs_end_val1.314500 t_peak123.000000 t_peak_val0.945924 t_end184.000000 t_end_val-0.121660
 r_peak15285.000000 r_peak_value2.050298 rr_pre_interval297.000000 rr_post_interval295.000000 p_onset197.000000 p_onset_val-0.164484 p_peak222.000000 p_peak_val0.092804 p_end275.000000 p_end_val-0.402271 qrs_onset284.000000 qrs_onset_val-0.356691 qrs_end23.000000 qrs_end_val-0.758338 t_peak121.000000 t_peak_val1.254229 t_end179.000000 t_end_val-0.137290
 r_peak15580.000000 r_peak_value1.892087 rr_pre_interval295.000000 rr_post_interval306.000000 p_onset127.000000 p_onset_val0.825545 p_peak186.000000 p_peak_val0.137914 p_end215.000000 p_end_val-0.276049 qrs_onset292.000000 qrs_onset_val-0.291833 qrs_end13.000000 qrs_end_val0.877887 t_peak126.000000 t_peak_val0.830341 t_end163.000000 t_end_val0.001313
 r_peak15886.000000 r_peak_value1.800800 rr_pre_interval306.000000 rr_post_interval1239.000000 p_onset921.000000 p_onset_val0.096146 p_peak944.000000 p_peak_val1.903499 p_end980.000000 p_end_val-2.315246 qrs_onset1228.000000 qrs_onset_val-0.314278 qrs_end15.000000 qrs_end_val0.658448 t_peak315.000000 t_peak_val1.874326 t_end355.000000 t_end_val-2.191645
 r_peak17125.000000 r_peak_value1.761083 rr_pre_interval1239.000000 rr_post_interval293.000000 p_onset122.000000 p_onset_val0.808256 p_peak176.000000 p_peak_val0.296283 p_end241.000000 p_end_val-0.287474 qrs_onset277.000000 qrs_onset_val-0.352349 qrs_end16.000000 qrs_end_val0.316569 t_peak122.000000 t_peak_val0.808256 t_end174.000000 t_end_val0.314480
 r_peak17418.000000 r_peak_value1.780142 rr_pre_interval293.000000 rr_post_interval306.000000 p_onset173.000000 p_onset_val-0.243461 p_peak196.000000 p_peak_val-0.235188 p_end237.000000 p_end_val-0.342071 qrs_onset292.000000 qrs_onset_val-0.236381 qrs_end32.000000 qrs_end_val-1.790248 t_peak128.000000 t_peak_val1.547736 t_end177.000000 t_end_val-0.228745
 r_peak17724.000000 r_peak_value1.908917 rr_pre_interval306.000000 rr_post_interval312.000000 p_onset266.000000 p_onset_val-0.225550 p_peak291.000000 p_peak_val-0.171052 p_end297.000000 p_end_val-0.170941 qrs_onset302.000000 qrs_onset_val-0.140879 qrs_end8.000000 qrs_end_val1.174200 t_peak124.000000 t_peak_val1.134126 t_end207.000000 t_end_val-0.272897
 r_peak18036.000000 r_peak_value1.894325 rr_pre_interval312.000000 rr_post_interval315.000000 p_onset258.000000 p_onset_val-0.161583 p_peak294.000000 p_peak_val0.104500 p_end300.000000 p_end_val0.195896 qrs_onset305.000000 qrs_onset_val0.143811 qrs_end15.000000 qrs_end_val0.728009 t_peak136.000000 t_peak_val1.070184 t_end200.000000 t_end_val-0.148500
 r_peak18351.000000 r_peak_value1.863012 rr_pre_interval315.000000 rr_post_interval314.000000 p_onset209.000000 p_onset_val-0.092822 p_peak245.000000 p_peak_val0.218479 p_end282.000000 p_end_val-0.255813 qrs_onset301.000000 qrs_onset_val-0.252271 qrs_end15.000000 qrs_end_val0.433702 t_peak132.000000 t_peak_val1.157477 t_end182.000000 t_end_val-0.130643
 r_peak18665.000000 r_peak_value1.852621 rr_pre_interval314.000000 rr_post_interval308.000000 p_onset130.000000 p_onset_val0.928482 p_peak191.000000 p_peak_val0.219593 p_end257.000000 p_end_val-0.401490 qrs_onset296.000000 qrs_onset_val-0.379639 qrs_end13.000000 qrs_end_val0.664469 t_peak131.000000 t_peak_val0.929736 t_end189.000000 t_end_val0.179703
 r_peak18973.000000 r_peak_value1.815863 rr_pre_interval308.000000 rr_post_interval600.000000 p_onset304.000000 p_onset_val1.551708 p_peak416.000000 p_peak_val1.258764 p_end474.000000 p_end_val-0.266394 qrs_onset584.000000 qrs_onset_val-0.216443 qrs_end17.000000 qrs_end_val0.311255 t_peak300.000000 t_peak_val2.022555 t_end335.000000 t_end_val-1.926302
 r_peak19573.000000 r_peak_value1.932555 rr_pre_interval600.000000 rr_post_interval296.000000 p_onset233.000000 p_onset_val-0.152478 p_peak273.000000 p_peak_val0.054062 p_end267.000000 p_end_val-0.123524 qrs_onset274.000000 qrs_onset_val0.053372 qrs_end16.000000 qrs_end_val0.448198 t_peak121.000000 t_peak_val0.859987 t_end163.000000 t_end_val-0.196739
 r_peak19869.000000 r_peak_value1.953465 rr_pre_interval296.000000 rr_post_interval301.000000 p_onset204.000000 p_onset_val-0.120970 p_peak233.000000 p_peak_val0.123057 p_end268.000000 p_end_val-0.348511 qrs_onset290.000000 qrs_onset_val-0.293872 qrs_end19.000000 qrs_end_val-0.247396 t_peak121.000000 t_peak_val1.295876 t_end185.000000 t_end_val-0.088305
 r_peak20170.000000 r_peak_value1.813731 rr_pre_interval301.000000 rr_post_interval321.000000 p_onset137.000000 p_onset_val0.790277 p_peak193.000000 p_peak_val0.213744 p_end230.000000 p_end_val-0.190362 qrs_onset306.000000 qrs_onset_val-0.217601 qrs_end9.000000 qrs_end_val0.953121 t_peak131.000000 t_peak_val0.800027 t_end175.000000 t_end_val-0.020255
 r_peak20491.000000 r_peak_value1.847885 rr_pre_interval321.000000 rr_post_interval319.000000 p_onset40.000000 p_onset_val-2.367303 p_peak194.000000 p_peak_val-0.211723 p_end214.000000 p_end_val-0.282931 qrs_onset305.000000 qrs_onset_val-0.184719 qrs_end19.000000 qrs_end_val0.158778 t_peak140.000000 t_peak_val1.615865 t_end214.000000 t_end_val-0.282931
 r_peak20810.000000 r_peak_value1.929183 rr_pre_interval319.000000 rr_post_interval1201.000000 p_onset874.000000 p_onset_val-0.436801 p_peak901.000000 p_peak_val2.120566 p_end934.000000 p_end_val-2.210985 qrs_onset1190.000000 qrs_onset_val-0.235909 qrs_end12.000000 qrs_end_val0.765501 t_peak603.000000 t_peak_val2.106977 t_end642.000000 t_end_val-2.251862
 r_peak22011.000000 r_peak_value1.951709 rr_pre_interval1201.000000 rr_post_interval314.000000 p_onset270.000000 p_onset_val-0.273182 p_peak293.000000 p_peak_val-0.218228 p_end299.000000 p_end_val-0.217084 qrs_onset302.000000 qrs_onset_val-0.161613 qrs_end32.000000 qrs_end_val-1.744577 t_peak123.000000 t_peak_val1.369263 t_end191.000000 t_end_val-0.349717
 r_peak22325.000000 r_peak_value1.997541 rr_pre_interval314.000000 rr_post_interval316.000000 p_onset246.000000 p_onset_val-0.217852 p_peak294.000000 p_peak_val-0.098966 p_end296.000000 p_end_val-0.113057 qrs_onset302.000000 qrs_onset_val-0.126333 qrs_end14.000000 qrs_end_val0.821178 t_peak125.000000 t_peak_val1.224827 t_end192.000000 t_end_val-0.335174
 r_peak22641.000000 r_peak_value2.044199 rr_pre_interval316.000000 rr_post_interval312.000000 p_onset253.000000 p_onset_val-0.261771 p_peak283.000000 p_peak_val0.087963 p_end297.000000 p_end_val-0.055408 qrs_onset300.000000 qrs_onset_val-0.042431 qrs_end19.000000 qrs_end_val0.344953 t_peak132.000000 t_peak_val0.995355 t_end190.000000 t_end_val-0.177147
 r_peak22953.000000 r_peak_value1.965909 rr_pre_interval312.000000 rr_post_interval311.000000 p_onset196.000000 p_onset_val-0.177192 p_peak224.000000 p_peak_val0.134345 p_end271.000000 p_end_val-0.398102 qrs_onset296.000000 qrs_onset_val-0.334811 qrs_end15.000000 qrs_end_val0.779481 t_peak130.000000 t_peak_val0.808824 t_end189.000000 t_end_val-0.198400
 r_peak23264.000000 r_peak_value1.949655 rr_pre_interval311.000000 rr_post_interval303.000000 p_onset42.000000 p_onset_val-1.715078 p_peak182.000000 p_peak_val0.189906 p_end250.000000 p_end_val-0.416457 qrs_onset288.000000 qrs_onset_val-0.384403 qrs_end22.000000 qrs_end_val0.037650 t_peak128.000000 t_peak_val0.951269 t_end250.000000 t_end_val-0.416457
 r_peak23567.000000 r_peak_value1.974170 rr_pre_interval303.000000 rr_post_interval296.000000 p_onset162.000000 p_onset_val-0.203007 p_peak186.000000 p_peak_val-0.173949 p_end203.000000 p_end_val-0.238446 qrs_onset283.000000 qrs_onset_val-0.206645 qrs_end20.000000 qrs_end_val-0.566633 t_peak117.000000 t_peak_val1.653009 t_end165.000000 t_end_val-0.226957
 r_peak23863.000000 r_peak_value2.119516 rr_pre_interval296.000000 rr_post_interval294.000000 p_onset117.000000 p_onset_val1.133252 p_peak183.000000 p_peak_val-0.151425 p_end195.000000 p_end_val-0.185501 qrs_onset283.000000 qrs_onset_val-0.206505 qrs_end25.000000 qrs_end_val-1.483163 t_peak116.000000 t_peak_val1.138017 t_end163.000000 t_end_val-0.242094
 r_peak24157.000000 r_peak_value2.160690 rr_pre_interval294.000000 rr_post_interval306.000000 p_onset214.000000 p_onset_val-0.104030 p_peak260.000000 p_peak_val0.172070 p_end286.000000 p_end_val-0.274779 qrs_onset294.000000 qrs_onset_val-0.312804 qrs_end19.000000 qrs_end_val0.391503 t_peak121.000000 t_peak_val1.201972 t_end183.000000 t_end_val-0.121961
 r_peak24463.000000 r_peak_value1.956286 rr_pre_interval306.000000 rr_post_interval313.000000 p_onset178.000000 p_onset_val-0.149923 p_peak207.000000 p_peak_val0.201455 p_end259.000000 p_end_val-0.369607 qrs_onset303.000000 qrs_onset_val-0.306551 qrs_end16.000000 qrs_end_val0.289264 t_peak122.000000 t_peak_val1.441299 t_end185.000000 t_end_val-0.171929
 r_peak24776.000000 r_peak_value2.015802 rr_pre_interval313.000000 rr_post_interval322.000000 p_onset256.000000 p_onset_val-0.375534 p_peak301.000000 p_peak_val-0.298038 p_end302.000000 p_end_val-0.288571 qrs_onset308.000000 qrs_onset_val-0.264873 qrs_end8.000000 qrs_end_val1.327713 t_peak131.000000 t_peak_val1.225133 t_end217.000000 t_end_val-0.346836
 r_peak25098.000000 r_peak_value2.083247 rr_pre_interval322.000000 rr_post_interval309.000000 p_onset268.000000 p_onset_val-0.281675 p_peak288.000000 p_peak_val-0.227161 p_end290.000000 p_end_val-0.231472 qrs_onset295.000000 qrs_onset_val-0.222883 qrs_end22.000000 qrs_end_val-0.265687 t_peak123.000000 t_peak_val1.411239 t_end185.000000 t_end_val-0.260894
 r_peak25407.000000 r_peak_value2.079108 rr_pre_interval309.000000 rr_post_interval299.000000 p_onset125.000000 p_onset_val1.377515 p_peak185.000000 p_peak_val-0.069082 p_end220.000000 p_end_val-0.218497 qrs_onset288.000000 qrs_onset_val0.001431 qrs_end14.000000 qrs_end_val0.707477 t_peak126.000000 t_peak_val1.386653 t_end176.000000 t_end_val-0.081698
 r_peak25706.000000 r_peak_value2.127339 rr_pre_interval299.000000 rr_post_interval604.000000 p_onset298.000000 p_onset_val1.692994 p_peak421.000000 p_peak_val1.134684 p_end467.000000 p_end_val-0.157949 qrs_onset592.000000 qrs_onset_val-0.381225 qrs_end14.000000 qrs_end_val0.637088 t_peak296.000000 t_peak_val1.967915 t_end339.000000 t_end_val-2.017663
 r_peak26310.000000 r_peak_value1.996660 rr_pre_interval604.000000 rr_post_interval307.000000 p_onset128.000000 p_onset_val1.478859 p_peak191.000000 p_peak_val-0.234434 p_end202.000000 p_end_val-0.277601 qrs_onset292.000000 qrs_onset_val-0.219499 qrs_end10.000000 qrs_end_val1.078338 t_peak128.000000 t_peak_val1.478859 t_end192.000000 t_end_val-0.263541
 r_peak26617.000000 r_peak_value2.090048 rr_pre_interval307.000000 rr_post_interval310.000000 p_onset253.000000 p_onset_val-0.280971 p_peak288.000000 p_peak_val-0.208134 p_end296.000000 p_end_val-0.173369 qrs_onset299.000000 qrs_onset_val-0.160861 qrs_end21.000000 qrs_end_val-0.385391 t_peak122.000000 t_peak_val1.221662 t_end203.000000 t_end_val-0.328794
 r_peak26927.000000 r_peak_value2.084562 rr_pre_interval310.000000 rr_post_interval314.000000 p_onset267.000000 p_onset_val-0.181846 p_peak293.000000 p_peak_val0.006114 p_end293.000000 p_end_val0.006114 qrs_onset300.000000 qrs_onset_val0.146349 qrs_end15.000000 qrs_end_val0.746600 t_peak129.000000 t_peak_val1.142980 t_end192.000000 t_end_val-0.238179
 r_peak27241.000000 r_peak_value2.152556 rr_pre_interval314.000000 rr_post_interval610.000000 p_onset312.000000 p_onset_val1.570298 p_peak434.000000 p_peak_val1.105012 p_end479.000000 p_end_val-0.102636 qrs_onset597.000000 qrs_onset_val-0.385437 qrs_end47.000000 qrs_end_val-2.264169 t_peak308.000000 t_peak_val1.972116 t_end348.000000 t_end_val-1.959733
 r_peak27851.000000 r_peak_value1.921568 rr_pre_interval610.000000 rr_post_interval595.000000 p_onset302.000000 p_onset_val1.560079 p_peak412.000000 p_peak_val1.300263 p_end468.000000 p_end_val-0.290861 qrs_onset580.000000 qrs_onset_val-0.263198 qrs_end13.000000 qrs_end_val0.707133 t_peak297.000000 t_peak_val2.060361 t_end332.000000 t_end_val-2.116035
